place_id,name,link,main_category,categories,rating,reviews,address
ChIJnQOqxUMVkFQR2rTMhCe9zMQ,Mecca Cafe,"https://www.google.com/maps/place/Mecca+Cafe/@47.6241008,-122.3564403,17z/data=!3m1!4b1!4m6!3m5!1s0x54901543c5aa039d:0xc4ccbd2784ccb4da!8m2!3d47.6241008!4d-122.3564403!16s%2Fg%2F1tf0q9qx?authuser=0&entry=ttu",Diner,"Diner, Bar, Breakfast restaurant, Brunch restaurant, Lunch restaurant",4.2,1629,"Mecca Cafe, 526 Queen Anne Ave N, Seattle, WA 98109"
ChIJ-TzzQ8xqkFQRH5sj_1Pd6bE,Lost Lake Cafe & Lounge,"https://www.google.com/maps/place/Lost+Lake+Cafe+%26+Lounge/@47.6143793,-122.3196433,17z/data=!3m1!4b1!4m6!3m5!1s0x54906acc43f33cf9:0xb1e9dd53ff239b1f!8m2!3d47.6143793!4d-122.3196433!16s%2Fg%2F12j1mbms0?authuser=0&entry=ttu",Diner,"Diner, Bar, Breakfast restaurant, Brunch restaurant, Lunch restaurant, New American restaurant, Restaurant",4.2,3837,"Lost Lake Cafe & Lounge, 1505 10th Ave, Seattle, WA 98122"
ChIJr2pG1vlAkFQRt0oiESjE8XI,Seattle Fish Company,"https://www.google.com/maps/place/Seattle+Fish+Company/@47.5636776,-122.3871229,17z/data=!3m1!4b1!4m6!3m5!1s0x549040f9d6466aaf:0x72f1c42811224ab7!8m2!3d47.5636776!4d-122.3871229!16s%2Fg%2F1v2jcm76?authuser=0&entry=ttu",Seafood restaurant,Seafood restaurant,4.5,963,"Seattle Fish Company, 4435 California Ave SW, Seattle, WA 98116"
ChIJ_SZAlmYVkFQReW4XFVMHMPU,Locust Cider Market Place,"https://www.google.com/maps/place/Locust+Cider+Market+Place/@47.6110055,-122.3448336,17z/data=!3m1!4b1!4m6!3m5!1s0x54901566964026fd:0xf530075315176e79!8m2!3d47.6110055!4d-122.3448336!16s%2Fg%2F11j30hxtxq?authuser=0&entry=ttu",Cider bar,"Cider bar, Bar, Brewpub",4.7,108,"Locust Cider Market Place, 2003 Western Ave Suite 110C, Seattle, WA 98121"
ChIJJ6v8Vm5tkFQRqZLWQZLFw38,Rasoi Indian Restaurant and Bakery,"https://www.google.com/maps/place/Rasoi+Indian+Restaurant+and+Bakery/@47.6272043,-122.1488969,17z/data=!3m1!4b1!4m6!3m5!1s0x54906d6e56fcab27:0x7fc3c59241d692a9!8m2!3d47.6272043!4d-122.1488969!16s%2Fg%2F11scy012mb?authuser=0&entry=ttu",Indian restaurant,"Indian restaurant, Bakery, Indian sweets shop, Modern Indian restaurant, North Eastern Indian restaurant, North Indian restaurant, Restaurant, South Indian restaurant",4.6,776,"Rasoi Indian Restaurant and Bakery, 14339 NE 20th St Ste I, Bellevue, WA 98007"
ChIJsRF59nJAkFQRKis-uc-e_1k,Marination Ma Kai,"https://www.google.com/maps/place/Marination+Ma+Kai/@47.5894362,-122.3805702,17z/data=!3m1!4b1!4m6!3m5!1s0x54904072f67911b1:0x59ff9ecfb93e2b2a!8m2!3d47.5894362!4d-122.3805702!16s%2Fg%2F1hhlj5dkv?authuser=0&entry=ttu",Hawaiian restaurant,"Hawaiian restaurant, Bar",4.5,3116,"Marination Ma Kai, 1660 Harbor Ave SW, Seattle, WA 98126"
ChIJHXS4CKRrkFQRGikx6QFTY08,Caffe Ladro - Downtown at 2+U,https://www.google.com/maps/place/Caffe+Ladro+-+Downtown+at+2%2BU/data=!4m7!3m6!1s0x54906ba408b8741d:0x4f635301e931291a!8m2!3d47.6068407!4d-122.3369382!16s%2Fg%2F11rsfz9ln8!19sChIJHXS4CKRrkFQRGikx6QFTY08?authuser=0&hl=en&rclk=1,Coffee shop,Coffee shop,4.2,25,"Caffe Ladro - Downtown at 2+U, 1201 2nd Ave, Seattle, WA 98101"
ChIJmTgyxSgRkFQRbeZrWDGUM50,Kiriba Sushi & Grill,"https://www.google.com/maps/place/Kiriba+Sushi+%26+Grill/@47.7339475,-122.3544973,17z/data=!3m1!4b1!4m6!3m5!1s0x54901128c5323899:0x9d339431586be66d!8m2!3d47.7339475!4d-122.3544973!16s%2Fg%2F1tfy_tmh?authuser=0&entry=ttu",Sushi restaurant,"Sushi restaurant, Asian restaurant, Japanese restaurant",4.5,554,"Kiriba Sushi & Grill, 323 N 145th St, Seattle, WA 98133"
ChIJI7J6qzUVkFQRGWImkP64m0o,Seattle's Best Karaoke,"https://www.google.com/maps/place/Seattle's+Best+Karaoke/@47.6174328,-122.3310644,17z/data=!3m1!4b1!4m6!3m5!1s0x54901535ab7ab223:0x4a9bb8fe90266219!8m2!3d47.6174328!4d-122.3310644!16s%2Fg%2F1vd7105h?authuser=0&entry=ttu",Karaoke,Karaoke,4.2,153,"Seattle's Best Karaoke, 1818 Minor Ave, Seattle, WA 98101"
ChIJ99NL7LxqkFQR2sbTmAs3DMU,Oasis Tea Zone (Chinatown ID),"https://www.google.com/maps/place/Oasis+Tea+Zone+(Chinatown+ID)/@47.5976545,-122.326544,17z/data=!3m1!4b1!4m6!3m5!1s0x54906abcec4bd3f7:0xc50c370b98d3c6da!8m2!3d47.5976545!4d-122.326544!16s%2Fg%2F1tdz4jrh?authuser=0&entry=ttu",Cafe,"Cafe, Bubble tea store",4.3,1722,"Oasis Tea Zone (Chinatown ID), 519 6th Ave S, Seattle, WA 98104"
ChIJ-V_4c0pskFQR3eEu1H_94no,Subway,"https://www.google.com/maps/place/Subway/@47.6082441,-122.1413794,17z/data=!3m1!4b1!4m6!3m5!1s0x54906c4a73f85ff9:0x7ae2fd7fd42ee1dd!8m2!3d47.6082441!4d-122.1413794!16s%2Fg%2F1tvdjhfz?authuser=0&entry=ttu",Sandwich shop,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",3,138,"Subway, 15015 Main St Suite 113, Bellevue, WA 98007"
ChIJF0TivkMVkFQRxP5Wl8Sjn5E,The Spectator,"https://www.google.com/maps/place/The+Spectator/@47.6241587,-122.357055,17z/data=!3m1!4b1!4m6!3m5!1s0x54901543bee24417:0x919fa3c49756fec4!8m2!3d47.6241587!4d-122.357055!16s%2Fg%2F1tg_wszq?authuser=0&entry=ttu",Sports bar,"Sports bar, Bar",3.6,5,"The Spectator, 529 Queen Anne Ave N, Seattle, WA 98109"
ChIJFTdIZqFBkFQRfYfa2J2NEOE,McDonald's,"https://www.google.com/maps/place/McDonald%E2%80%99s/@47.5432827,-122.3867274,17z/data=!3m1!4b1!4m6!3m5!1s0x549041a166483715:0xe1108d9dd8da877d!8m2!3d47.5432827!4d-122.3867274!16s%2Fg%2F11r_v4spkl?authuser=0&entry=ttu",Fast food restaurant,Fast food restaurant,2.5,73,"McDonald's, 6546 California Ave SW, Seattle, WA 98136"
ChIJoZ1x0OAUkFQRNoolPYvRsIA,The Roanoke,"https://www.google.com/maps/place/The+Roanoke/@47.6417208,-122.3202982,17z/data=!3m1!4b1!4m6!3m5!1s0x549014e0d0719da1:0x80b0d18b3d258a36!8m2!3d47.6417208!4d-122.3202982!16s%2Fg%2F1tdjqvgg?authuser=0&entry=ttu",Bar,"Bar, Pub, Sports bar",4.6,214,"The Roanoke, 2409 10th Ave E, Seattle, WA 98102"
ChIJg1WHfLNqkFQRXWhccpoSces,Gyros Place,https://www.google.com/maps/place/Gyros+Place/data=!4m7!3m6!1s0x54906ab37c875583:0xeb71129a725c685d!8m2!3d47.6101018!4d-122.3374811!16s%2Fg%2F1vmr125c!19sChIJg1WHfLNqkFQRXWhccpoSces?authuser=0&hl=en&rclk=1,Mediterranean restaurant,"Mediterranean restaurant, Greek restaurant, Gyro restaurant, Juice shop",4.7,63,"Gyros Place, 1501 4th Ave #109, Seattle, WA 98101"
ChIJE3wmpDUVkFQR-IFRzIBqh3Q,Mighty-O Donuts Denny Triangle,https://www.google.com/maps/place/Mighty-O+Donuts+Denny+Triangle/data=!4m7!3m6!1s0x54901535a4267c13:0x74876a80cc5181f8!8m2!3d47.6169609!4d-122.3324237!16s%2Fg%2F11g9nm8rtw!19sChIJE3wmpDUVkFQR-IFRzIBqh3Q?authuser=0&hl=en&rclk=1,Donut shop,"Donut shop, Cafe, Coffee shop",4.4,366,"Mighty-O Donuts Denny Triangle, 1812 Boren Ave, Seattle, WA 98101"
ChIJiZvwB8xqkFQRNsl_0IBlxK4,Optimism Brewing Company,"https://www.google.com/maps/place/Optimism+Brewing+Company/@47.6128,-122.3205327,17z/data=!3m1!4b1!4m6!3m5!1s0x54906acc07f09b89:0xaec46580d07fc936!8m2!3d47.6128!4d-122.3205327!16s%2Fg%2F11bxdxmg6v?authuser=0&entry=ttu",Brewery,"Brewery, Beer garden, Beer hall, Brewpub",4.6,1513,"Optimism Brewing Company, 1158 Broadway, Seattle, WA 98122"
ChIJ781GxOhtkFQRX4iF9y6CfO4,Target,https://www.google.com/maps/place/Target/data=!4m7!3m6!1s0x54906de8c446cdef:0xee7c822ef785885f!8m2!3d47.6120452!4d-122.1846999!16s%2Fg%2F11j5p_t7cm!19sChIJ781GxOhtkFQRX4iF9y6CfO4?authuser=0&hl=en&rclk=1,Department store,"Department store, Baby store, Clothing store, Electronics store, Furniture store, Home goods store, Office supply store, Outdoor furniture store, Shoe store, Toy store",3.2,131,"Target, 272 116th Ave NE, Bellevue, WA 98004"
ChIJt_PVGiEVkFQR52WPM4RtC78,Siam On Eastlake,"https://www.google.com/maps/place/Siam+On+Eastlake/@47.6346603,-122.3256074,17z/data=!3m1!4b1!4m6!3m5!1s0x549015211ad5f3b7:0xbf0b6d84338f65e7!8m2!3d47.6346603!4d-122.3256074!16s%2Fg%2F11xrvpx2j?authuser=0&entry=ttu",Thai restaurant,"Thai restaurant, Asian restaurant, Cocktail bar, Restaurant",4.3,376,"Siam On Eastlake, 1629 Eastlake Ave E, Seattle, WA 98102"
ChIJdebO38lqkFQR12BoPLLghOQ,Potbelly,"https://www.google.com/maps/place/Potbelly/@47.6102113,-122.3237555,17z/data=!3m1!4b1!4m6!3m5!1s0x54906ac9dfcee675:0xe484e0b23c6860d7!8m2!3d47.6102113!4d-122.3237555!16s%2Fg%2F1hf3zl944?authuser=0&entry=ttu",Sandwich shop,"Sandwich shop, Beverage distributor, Caterer, Deli, Fast food restaurant, Lunch restaurant, Restaurant supply store",4.2,270,"Potbelly, 1208 Madison St #121, Seattle, WA 98104"
ChIJwedxeNRckFQRIzJdkJBlJak,Homegrown Sustainable Sandwiches,"https://www.google.com/maps/place/Homegrown+Sustainable+Sandwiches/@47.4589866,-122.2578233,17z/data=!3m1!4b1!4m6!3m5!1s0x54905cd47871e7c1:0xa9256590905d3223!8m2!3d47.4589866!4d-122.2578233!16s%2Fg%2F11mgkgw1ch?authuser=0&entry=ttu",Sandwich shop,Sandwich shop,4.1,126,"Homegrown Sustainable Sandwiches, 2800 Southcenter Mall, Tukwila, WA 98188"
ChIJY_Vw0SEUkFQRGjYVrlMQ_FU,Luna Azul,"https://www.google.com/maps/place/Luna+Azul/@47.691454,-122.3550206,17z/data=!3m1!4b1!4m6!3m5!1s0x54901421d170f563:0x55fc1053ae15361a!8m2!3d47.691454!4d-122.3550206!16s%2Fg%2F1v3kh5_b?authuser=0&entry=ttu",Mexican restaurant,"Mexican restaurant, Latin American restaurant",4.6,298,"Luna Azul, 8552 Greenwood Ave N, Seattle, WA 98103"
ChIJb3xkZOpqkFQRReOmH22ZkJ4,Northwest Tofu Inc (Tofu manufacture ),"https://www.google.com/maps/place/Northwest+Tofu+Inc+(Tofu+manufacture+)/@47.5990226,-122.3070456,17z/data=!3m1!4b1!4m6!3m5!1s0x54906aea64647c6f:0x9e90996d1fa6e345!8m2!3d47.5990226!4d-122.3070456!16s%2Fg%2F1hc2qf8dk?authuser=0&entry=ttu",Tofu shop,Tofu shop,4.1,279,"Northwest Tofu Inc (Tofu manufacture ), 1913 S Jackson St, Seattle, WA 98144"
ChIJyQoRJK5qkFQRYRLex7whlZA,Starbucks,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x54906aae24110ac9:0x909521bcc7de1261!8m2!3d47.6095682!4d-122.3242027!16s%2Fg%2F1tfrm0vw!19sChIJyQoRJK5qkFQRYRLex7whlZA?authuser=0&hl=en&rclk=1,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4,179,"Starbucks, 1101 Madison St, Seattle, WA 98104"
ChIJhQ_fwvNqkFQR_RmnSgc2oxc,Thats Amore Italian Cafe,"https://www.google.com/maps/place/Thats+Amore+Italian+Cafe/@47.5895666,-122.2926334,17z/data=!3m1!4b1!4m6!3m5!1s0x54906af3c2df0f85:0x17a336074aa719fd!8m2!3d47.5895666!4d-122.2926334!16s%2Fg%2F1wz52f03?authuser=0&entry=ttu",Italian restaurant,"Italian restaurant, Restaurant",4.6,440,"Thats Amore Italian Cafe, 1425 31st Ave S, Seattle, WA 98144"
ChIJ5x2d36gWkFQR9nnsx7ZB_5k,IHOP,"https://www.google.com/maps/place/IHOP/@47.7022507,-122.3443905,17z/data=!3m1!4b1!4m6!3m5!1s0x549016a8df9d1de7:0x99ff41b6c7ec79f6!8m2!3d47.7022507!4d-122.3443905!16s%2Fg%2F1tfg2st1?authuser=0&entry=ttu",Breakfast restaurant,"Breakfast restaurant, American restaurant, Family restaurant",4.1,1274,"IHOP, 10002 Aurora Ave N, Seattle, WA 98133"
ChIJ-cn1NFVskFQROfq8CBlEmcU,Applebee's Grill + Bar,"https://www.google.com/maps/place/Applebee's+Grill+%2B+Bar/@47.6245913,-122.1550596,17z/data=!3m1!4b1!4m6!3m5!1s0x54906c5534f5c9f9:0xc599441908bcfa39!8m2!3d47.6245913!4d-122.1550596!16s%2Fg%2F1tl_lf3c?authuser=0&entry=ttu",Restaurant,"Restaurant, American restaurant, Bar & grill, Diner, Family restaurant, Hamburger restaurant, Steak house, Traditional American restaurant",4.2,1374,"Applebee's Grill + Bar, 13856 Bel-Red Rd, Bellevue, WA 98005"
ChIJN-SR51kUkFQRt0YwwNvBfdM,Murphy's Pub,"https://www.google.com/maps/place/Murphy's+Pub/@47.6615898,-122.3339574,17z/data=!3m1!4b1!4m6!3m5!1s0x54901459e791e437:0xd37dc1dbc03046b7!8m2!3d47.6615898!4d-122.3339574!16s%2Fg%2F1tfkf8pl?authuser=0&entry=ttu",Irish pub,Irish pub,4.6,1022,"Murphy's Pub, 1928 N 45th St, Seattle, WA 98103"
ChIJ0Xp4eKRqkFQRz26dcozx8Ho,Seattle's Historic Triangle Pub,"https://www.google.com/maps/place/Seattle's+Historic+Triangle+Pub/@47.596783,-122.3344506,17z/data=!3m1!4b1!4m6!3m5!1s0x54906aa478787ad1:0x7af0f18c729d6ecf!8m2!3d47.596783!4d-122.3344506!16s%2Fg%2F1hc2mc9nr?authuser=0&entry=ttu",Bar,Bar,4.4,270,"Seattle's Historic Triangle Pub, Triangle Hotel and Bar, 553 1st Ave S, Seattle, WA 98104"
ChIJm7dmv-5rkFQRmS3tDAVZTfc,Bar Solea,"https://www.google.com/maps/place/Bar+Solea/@47.603959,-122.335348,17z/data=!3m1!4b1!4m6!3m5!1s0x54906beebf66b79b:0xf74d59050ced2d99!8m2!3d47.603959!4d-122.335348!16s%2Fg%2F11jt84gp18?authuser=0&entry=ttu",Pizza restaurant,Pizza restaurant,4.7,55,"Bar Solea, 822 1st Ave, Seattle, WA 98104"
ChIJFdfIO1MUkFQRJ9Ixw23B-3U,Uneeda Burger,"https://www.google.com/maps/place/Uneeda+Burger/@47.6595106,-122.3497411,17z/data=!3m1!4b1!4m6!3m5!1s0x549014533bc8d715:0x75fbc16dc331d227!8m2!3d47.6595106!4d-122.3497411!16s%2Fg%2F1thl53sl?authuser=0&entry=ttu",Hamburger restaurant,"Hamburger restaurant, American restaurant, Restaurant, Sandwich shop",4.5,2397,"Uneeda Burger, 4302 Fremont Ave N, Seattle, WA 98103"
ChIJR6q5CUsVkFQRZdmCMaKCLzU,Mamnoon Street,"https://www.google.com/maps/place/Mamnoon+Street/@47.614838,-122.3386459,17z/data=!3m1!4b1!4m6!3m5!1s0x5490154b09b9aa47:0x352f82a23182d965!8m2!3d47.614838!4d-122.3386459!16s%2Fg%2F11clsgdq02?authuser=0&entry=ttu",Middle Eastern restaurant,Middle Eastern restaurant,4.3,956,"Mamnoon Street, 2020 6th Ave, Seattle, WA 98121"
ChIJUSMHCL9qkFQRqMtzj3wzhLY,Saigon Vietnam Deli,"https://www.google.com/maps/place/Saigon+Vietnam+Deli/@47.5997776,-122.3167697,17z/data=!3m1!4b1!4m6!3m5!1s0x54906abf08072351:0xb684337c8f73cba8!8m2!3d47.5997776!4d-122.3167697!16s%2Fg%2F1tgnlsk7?authuser=0&entry=ttu",Vietnamese restaurant,"Vietnamese restaurant, Deli",4.5,802,"Saigon Vietnam Deli, 1200 S Jackson St # 7, Seattle, WA 98144"
ChIJUXsqrodskFQRTFJB19-MEfc,MOD Pizza,"https://www.google.com/maps/place/MOD+Pizza/@47.6133378,-122.2019472,17z/data=!3m1!4b1!4m6!3m5!1s0x54906c87ae2a7b51:0xf7118cdfd741524c!8m2!3d47.6133378!4d-122.2019472!16s%2Fg%2F1vc81hyn?authuser=0&entry=ttu",Pizza restaurant,"Pizza restaurant, Fast food restaurant, Restaurant",4.4,1683,"MOD Pizza, 317 Bellevue Way NE, Bellevue, WA 98004"
ChIJE2F8FLRqkFQREDtIoA4fBTs,Redtrees Restaurant and Bar,"https://www.google.com/maps/place/Redtrees+Restaurant+and+Bar/@47.6091934,-122.3328975,17z/data=!3m1!4b1!4m6!3m5!1s0x54906ab4147c6113:0x3b051f0ea0483b10!8m2!3d47.6091934!4d-122.3328975!16s%2Fg%2F11ckqmwxbl?authuser=0&entry=ttu",Restaurant,"Restaurant, Bar, Breakfast restaurant",4.2,57,"Redtrees Restaurant and Bar, 1301 6th Ave, Seattle, WA 98101"
ChIJDbPGbt9DkFQRIg8oemkHu3s,The Live Butcher LLC,"https://www.google.com/maps/place/The+Live+Butcher+LLC/@47.5182169,-122.3549695,17z/data=!3m1!4b1!4m6!3m5!1s0x549043df6ec6b30d:0x7bbb07697a280f22!8m2!3d47.5182169!4d-122.3549695!16s%2Fg%2F1hhgrm_3s?authuser=0&entry=ttu",Butcher shop,Butcher shop,4.8,166,"The Live Butcher LLC, 9432 16th Ave SW, Seattle, WA 98106"
ChIJ7SUJpccVkFQRVA0QQmFXF0o,Macleod's Scottish Pub,"https://www.google.com/maps/place/Macleod%E2%80%99s+Scottish+Pub/@47.6658493,-122.3823074,17z/data=!3m1!4b1!4m6!3m5!1s0x549015c7a50925ed:0x4a17576142100d54!8m2!3d47.6658493!4d-122.3823074!16s%2Fg%2F1hf2slsck?authuser=0&entry=ttu",Fish & chips restaurant,"Fish & chips restaurant, Bar",4.6,873,"Macleod's Scottish Pub, 5200 Ballard Ave NW, Seattle, WA 98107"
ChIJ1bXzyeEUkFQRYZZh8IAbL00,Starbucks,"https://www.google.com/maps/place/Starbucks/@47.6410383,-122.3256,17z/data=!3m1!4b1!4m6!3m5!1s0x549014e1c9f3b5d5:0x4d2f1b80f0619661!8m2!3d47.6410383!4d-122.3256!16s%2Fg%2F1w0scknl?authuser=0&entry=ttu",Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.3,276,"Starbucks, 2344 Eastlake Ave E, Seattle, WA 98102"
ChIJIWwmRRpqkFQRsh0ZTKL7OdA,Bent Burgers,"https://www.google.com/maps/place/Bent+Burgers/@47.555033,-122.2695962,17z/data=!3m1!4b1!4m6!3m5!1s0x54906a1a45266c21:0xd039fba24c191db2!8m2!3d47.555033!4d-122.2695962!16s%2Fg%2F1tqt9chv?authuser=0&entry=ttu",Hamburger restaurant,"Hamburger restaurant, American restaurant, Family restaurant, Fast food restaurant, Vegetarian restaurant",4.4,585,"Bent Burgers, 5100 S Dawson St #204, Seattle, WA 98118"
